pincode,circle,region,division,offices
416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O, Bastawade B.O, Dahiwadi B.O, Dongarsoni B.O, Jarandi B.O, Khujgaon B.O, Siddhewadi Savalaj B.O, Vadgaon B.O"
416312,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Tasgaon M.D.G S.O, Arawade B.O, Balagavade B.O, Bendri B.O, Biranwadi B.O, Borgaon (T) B.O, Chinchani (T) B.O, Dhavali (T) B.O, Gaurgaon B.O, Karanje B.O, Limb B.O, Lode B.O, Manjarde B.O, Nimani B.O, Nimblak B.O, Ped B.O, Punadi (T) B.O, Turchi B.O, Vasumbe (T) B.O, Waiphale B.O, Yamgarwadi B.O, Guruwar Peth,tasgaon S.O"
416313,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Walwa S.O, Junekhed B.O, Nagthane B.O"
416314,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Visapur S.O (Sangli), Hatnoli B.O, Hatnur B.O, Khalsa Dhamni B.O, Padali B.O"
416315,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Malwadi B.O, Dudhgaon S.O"
416316,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,Ankalkhop S.O
416401,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Arag S.O, Khatav B.O, Lingnoor B.O, Shindewadi B.O"
416402,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Daphalapur S.O, Ankale B.O, Baj B.O, Jirgyal B.O, Khalati B.O, Washan B.O"
416403,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Dhalgaon S.O, Agalgaon B.O, Arewadi B.O, Chorochi B.O, Dhavadwadi B.O, Dorli B.O, Ghorpadi B.O, Kerewadi B.O, Kosari B.O, Kumbhari B.O, Nagaj B.O"
416404,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Jath S.O, Antral B.O, Avandhi B.O, Banali B.O, Basargi B.O, Bevnur B.O, Billur B.O, Gugwad B.O, Kunikonnur B.O, Mendhigiri B.O, Muchandi B.O, Nigdi Khurd B.O, Revnal B.O, Sanmadi B.O, Shegaon B.O, Shinganhalli B.O, Sindur B.O, Umarani B.O, Vajrawad B.O, Valsang B.O, Walekhindi B.O, Yelvi B.O"
416405,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Kavathe Mahankal S.O, Dhalewadi B.O, Ghatnandre B.O, Hingangaon B.O, Irali B.O, Jakhapur B.O, Karoli  T B.O, Kokale B.O, Kuchi B.O, Kundalapur B.O, Langarpeth B.O, Nangole B.O, Shinganapur B.O, Tisangi B.O"
416406,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,Madhavnagar S.O
416407,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Malgaon S.O, Dongarwadi B.O, Gundewadi B.O"
416408,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Gavan B.O, Karoli (M) B.O, Savarde B.O, Manerajuri S.O"
416409,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Mhaisal S.O, Narwad B.O"
416410,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Miraj H.O, Brahmanpuri Miraj S.O, Govt.Medical College Miraj S.O, Khanbhag,sangli At Midc Miraj S.O, Miraj Audyogik Vasahat S.O, Miraj Station Road S.O, Shaniwar Peth Miraj S.O"
416411,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ranjani S.O (Sangli), Agran Dhulgaon B.O, Alkud  (S) B.O, Lonarwadi B.O"
416412,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Sankh S.O, Ankalagi B.O, Asangi J B.O, Asangi K B.O, Boblad K B.O, Daribadachi B.O, Sidhnath B.O, Sordi B.O, Tikundi B.O"
416413,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Umadi S.O, Balgaon B.O, Bellondagi B.O, Boblad Jadar B.O, Borgi(Khurd) B.O, Girgaon B.O, Madgyal B.O, Sonyal B.O, Suslad B.O, Utagi B.O, Vhaspet B.O"
416414,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Wanlsswadi S.O, Deshing B.O, Banewadi BO, Bedag B.O, Belanki B.O, Khanderajuri B.O, Kalambi B.O, Kharshing B.O, Shipur B.O, Payappachiwadi B.O, Tanang B.O, Yerandoli B.O, Vaddi B.O, Siddhewadi B.O, Bolwad B.O, Mallewadi B.O, Dhavali B.O"
416415,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Willingdon College Sangli S.O, Nandre B.O, Mouje Digraj B.O, Brahmanal B.O, Vasgade B.O, Ankali B.O, Haripur B.O, Inam Dhamni B.O, Padmale B.O, Samdolii B.O, Karnal B.O, Yelavi B.O, Govt. Colony S.O, Sangaliwadi B.O"
416416,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Sangli H.O, Factory Area Sangli S.O, Gajanan Mills Sangli S.O, Ganpati Peth Sangli S.O, Market Yard Sangli S.O, R K Extension Sangli S.O, S S K Sangli S.O, Sangli City S.O"
416417,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,Kavathe Piran S.O
416418,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Salgare S.O, Kognoli B.O, Kuktoli B.O"
416419,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Shirdhon S.O, Alkud (M) B.O, Borgaon B.O, Jaigavan B.O, Landgewadi B.O, Malangaon B.O"
416420,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Soni S.O, Bhose B.O, Dhulgaon B.O"
416436,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bamnoli B.O, Kupwad B.O, Savali B.O., Kupwad MIDC Area S.O"
416437,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,Subhashnagar S.O
416501,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dundage S.O, Hanimnal B.O, Hasur Champu B.O, Hebbal B.O, Hitni B.O, Mutnal B.O, Nilji B.O"
416502,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Gadhinglaj S.O, Atyal B.O, Badyachiwadi B.O, Bhadgaon B.O, Channe Kuppi B.O, Gajargaon B.O, Gijawane B.O, Harali BK B.O, Inchnal B.O, Kadgaon Gadhinglaj B.O, Vadarage Majare B.O, Gadhinglaj Shivaji Chowk S.O, Gadhinglaj Tilakpath S.O"
416503,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Mahagaon (Kolhapur) S.O, Batkangale B.O, Hebbal Jaldyal B.O, Kanoli B.O, Kolindre B.O, Kowade B.O, Lakudwadi B.O, Maligre B.O, Mangnoor T/F Sawantwadi B.O, Mungurwadi B.O, Sarambalwadi B.O, Sule B.O"
416504,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Nesari S.O, Arjunwadi B.O, Hadalage B.O, Kanadewadi B.O, Kine B.O, Sambre B.O, Shippur T/F Nesari B.O, Watangi B.O"
416505,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ajara S.O, Bhadvan B.O, Gavase B.O, Hativade B.O, Kasar Kandgaon B.O, Kitawade B.O, Madilage B.O, Pernoli B.O, Sohale B.O, Vite B.O, Yerandol B.O"
416506,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Halkarni S.O, Basarge BK B.O, Bugadikatti B.O, Hasur Sasgiri B.O, Kadalage B.O, Kawlikatti B.O, Manwad B.O, Nandanwad B.O, Narewadi B.O, Navkud B.O, Terni B.O, Yenechavandi B.O"
