business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hospital dindori,Healthcare Clinic Chains,Government hospital,Government hospital,422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",N/A,N/A,5.0,,"W3RG+PP9, Dindori, Madhya Pradesh 481880",422202,22.941793099999998,81.07684549999999,ChIJTRYaKQAjhzkRqit4DBbNebo,https://www.google.com/maps/place/?q=place_id:ChIJTRYaKQAjhzkRqit4DBbNebo,part_137,2026-09-22 06:06:27
MedPlus Dindori Road Mhasrul,Healthcare Clinic Chains,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",+91 40 6700 6700,https://www.medplusmart.com/,4.2,,"1/14, Plot No, Shop No. 2, Chittle Plaza, Survey No 240/1, 28, Dindori Rd, Shivaji Nagar, Nashik, Maharashtra 422004",Shivaji Nagar,20.041062099999998,73.8056272,ChIJY4_UMbXr3TsR8fq5C1CucbE,https://www.google.com/maps/place/?q=place_id:ChIJY4_UMbXr3TsR8fq5C1CucbE,part_137,2026-09-22 06:06:27
Metropolis Labs | Blood Test & Diagnostic Centre in Nashik,Healthcare Clinic Chains,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory, Pathologist, Wellness center",422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",+91 20 4717 0162,https://www.metropolisindia.com/lab/diagnostic-centre-in-niphad-near-shani-mandir-chowk-nashik,5.0,,"Ground Floor, near Shani Mandir Chowk, Niphad, Maharashtra 422303",422202,20.079126,74.107951,ChIJFTrJWYi53TsRHCZEiRkG6UI,https://www.google.com/maps/place/?q=place_id:ChIJFTrJWYi53TsRHCZEiRkG6UI,part_137,2026-09-22 06:06:27
Metropolis Labs | Blood Test & Diagnostic Centre in Nashik,Healthcare Clinic Chains,Diagnostic center,"Diagnostic center, Blood testing service, HIV testing center, Medical laboratory, STD testing service",422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",+91 20 4855 5376,https://www.metropolisindia.com/lab/diagnostic-centre-in-pandit-colony-near-aanand-loundry-nashik,5.0,,"No.37/3, Shop No. G1, Ground Floor, Samarth Empire, near Indian Oil petrol Pump, Khutawad Nagar, Nashik, Maharashtra 422008",Khutawad Nagar,19.9876611,73.7498689,ChIJv8RnTrLr3TsRNqsNIKoSAyo,https://www.google.com/maps/place/?q=place_id:ChIJv8RnTrLr3TsRNqsNIKoSAyo,part_137,2026-09-22 06:06:27
Metropolis Labs | Blood Test & Diagnostic Centre in Nashik,Healthcare Clinic Chains,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory, Pathologist, Wellness center",422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",+91 20 4717 0007,https://www.metropolisindia.com/lab/diagnostic-centre-in-tidke-colony-near-hdfc-bank-nashik,4.9,,"Shop No 9, Anudeep Park, near HDFC Bank, Mumbai Naka, Tidke Colony, Nashik, Maharashtra 422002","Mumbai Naka, Tidke Colony",19.989732999999998,73.77628299999999,ChIJlTvef7jr3TsRCKrMpNOzaNg,https://www.google.com/maps/place/?q=place_id:ChIJlTvef7jr3TsRCKrMpNOzaNg,part_137,2026-09-22 06:06:27
Metropolis Labs | Blood Test & Diagnostic Centre in Nashik,Healthcare Clinic Chains,Diagnostic center,"Diagnostic center, Blood testing service, Medical laboratory, Pathologist, Wellness center",422202,Maharashtra Circle,Navi Mumbai Region,Nasik Division,"Dindori S.O (Nashik), Awankhed B.O, Bhanwad B.O",+91 20 4855 5384,https://www.metropolisindia.com/lab/diagnostic-centre-in-dwarka-near-trikoni-garden-nashik,5.0,,"Kathe Ln, near Trikoni Garden, Samarth Nagar, Dwarka, Nashik, Maharashtra 422011","Samarth Nagar, Dwarka",19.991681699999997,73.8054533,ChIJGaww8VPr3TsR7PFWvkDPsZM,https://www.google.com/maps/place/?q=place_id:ChIJGaww8VPr3TsR7PFWvkDPsZM,part_137,2026-09-22 06:06:27
